1413815114.500379;m3-26;Acc;-7.525465E-2;3.168617E-2;-9.9316335E-1
1413815114.500979;m3-27;Acc;-7.786977E-2;1.19799655E-2;-9.8335546E-1
1413815114.501507;m3-24;Acc;-7.1085714E-2;3.850476E-2;-9.9618727E-1
1413815114.501941;m3-25;Acc;-5.8289275E-2;1.4316664E-2;-9.98076E-1
1413815114.502668;m3-22;Acc;-4.3982446E-2;2.1991223E-2;-9.8760587E-1
1413815114.503113;m3-23;Acc;-8.8462666E-2;-2.7711196E-2;-9.880107E-1
1413815114.503439;m3-23;Acc;-8.7396845E-2;-2.451375E-2;-9.890765E-1
1413815114.503897;m3-31;Acc;-1.3887148E-1;1.498613E-2;-9.81092E-1
1413815114.504433;m3-28;Acc;-8.011432E-2;-1.3041866E-2;-9.8838717E-1
1413815114.504966;m3-29;Acc;-6.8815805E-2;2.0239942E-2;-9.846732E-1
1413815114.505527;m3-30;Acc;-1.22038834E-1;6.945299E-2;-9.8027945E-1
1413815114.505837;m3-30;Acc;-1.1906228E-1;7.143737E-2;-9.782951E-1
1413815114.506330;m3-26;Acc;-7.426446E-2;3.168617E-2;-9.872222E-1
1413815114.506889;m3-26;Acc;-7.624484E-2;2.9705783E-2;-9.9217314E-1
1413815114.507313;m3-27;Acc;-7.786977E-2;1.19799655E-2;-9.853521E-1
1413815114.507778;m3-24;Acc;-7.1085714E-2;3.850476E-2;-9.8335236E-1
1413815114.508266;m3-25;Acc;-5.6244038E-2;1.2271427E-2;-9.868272E-1
1413815114.508562;m3-25;Acc;-5.6244038E-2;1.2271427E-2;-9.8580456E-1
1413815114.509221;m3-22;Acc;-4.1983247E-2;2.1991223E-2;-9.886055E-1
1413815114.509570;m3-22;Acc;-4.1983247E-2;2.3990426E-2;-9.866063E-1
1413815114.510030;m3-23;Acc;-8.7396845E-2;-2.5579564E-2;-9.890765E-1
1413815114.510510;m3-31;Acc;-1.4686407E-1;1.498613E-2;-9.870865E-1
1413815114.511042;m3-28;Acc;-7.918276E-2;-4.657809E-3;-9.902503E-1
1413815114.511562;m3-30;Acc;-1.21046655E-1;6.945299E-2;-9.812716E-1
